世界语单词,词性与重要性,候选汉字1,候选汉字2
inspekt,動o,检查,查
katekiz,動o,教理,教
koincid,動o,巧,合
konfisk,動o,没收,收
konsekr,動o,祭祀,净
konsult,動o,咨,询
legitim,動o,证,证
mobiliz,動o,动员,集
pilgrim,動o,朝圣,访
improviz,動o,即兴,造
inauxgur,動o,开,开
karambol,動o,撞,撞
katehxiz,動o,教堂,教
klasifik,動o,分类,分
kontribu,動o,贡献,助
litograf,動o,石版,印
prostitu,動o,娼,女
centraliz,動o,中心,集
stenograf,動o,速,记
ekskomunik,動o,除,除
karakteriz,動o,特,性
ajx,尾1,物,物
ant,尾1,,行
ebl,尾1,能,能
igx,尾1,成,现
ind,尾1,价,价
int,尾1,,能
ism,尾1,义,主
ist,尾1,家,师
obl,尾1,倍,倍
ont,尾1,,将
estr,尾1,长,长
acx,尾9,劣,劣
cxj##,尾9,少,子
end,尾9,必,要
ing,尾9,壳,壳
ajn,副1,,独
cxi##,副1,近,近
ecx##,副1,超,若
for,副1,离,离
iam,副1,i时,在
iom,副1,i量,少
jam,副1,,时
jen,副1,,空
jes,副1,是,允
kie,副1,何e,地
mem,副1,自,思
nun,副1,今,今
nur,副1,仅,专
pli,副1,于,于
plu,副1,增,加
tie,副1,,地
tre,副1,极,奇
tro,副1,过,过
tuj,副1,即,速
cxie,副1,全e,画
jxus,副1,当下,时
kiam,副1,何am,时
plej,副1,最,最
tial,副1,ti因,此
tiam,副1,ti时,时
tiel,副1,ti方,此
tiom,副1,ti量,极
cxiam,副1,全时,常
nenie,副1,无e,无
ankaux,副1,再,再
neniam,副1,无am,不
baldaux,副1,即,即
hieraux,副1,昨,往
hodiaux,副1,今天,今
morgaux,副1,明天,天
tie cxi##,副1,处,地
almenaux,副1,至少,至
ankoraux,副1,未,尚
preskaux,副1,几,近
tiel cxi##,副1,如,此
oft,副2,常,常
ial,副6,i因,由
iel,副6,i方,方
volont,副6,愿,心
des,副7,增,加
neniom,副8,无量,无
cxial,副9,全因,全
cxiom,副9,全量,全
ia/foj##,副9,偶尔,时
nenial,副9,无因,不
neniel,副9,无方,不
parker,副f,留心,记
foj,名2,次,次
hom,名2,人,人
jar,名2,年,年
kap,名2,头,首
kor,名2,心,心
lok,名2,位置,地
man,名2,手,手
nom,名2,名,名
tag,名2,日,日
ter,名2,土,土
vir,名2,男,子
voj,名2,路,道
afer,名2,事,事
amik,名2,朋,友
form,名2,型,型
kamp,名2,田,地
land,名2,土,国
mond,名2,世界,地
naci,名2,民,民
patr,名2,父,父
temp,名2,时间,时
vort,名2,词,词
flank,名2,侧,边
infan,名2,童,子
patr/in##,名2,母,母
cxambr,名2,室,室
sinjor,名2,先生,士
akv,名3,水,水
arb,名3,树,木
art,名3,艺术,技
dom,名3,宅,舍
edz,名3,夫,夫
fil,名3,子,子
har,名3,毛,毛
hor,名3,时,时
lit,名3,床,床
mar,名3,海,海
mon,名3,钱,财
mur,名3,墙,墙
pac,名3,和,和
pec,名3,片,片
sun,名3,日,日
urb,名3,城,城
bild,名3,画,画
bird,名3,鸟,雀
busx,名3,嘴,口
frat,名3,兄弟,兄
hejm,名3,家,舍
knab,名3,童,童
kort,名3,庭,庭
libr,名3,书,书
mont,名3,山,山
okul,名3,眼,视
part,名3,部分,分
pied,名3,脚,行
pord,名3,门,门
rajt,名3,权,权
tabl,名3,桌,台
vent,名3,风,风
vest,名3,背心,服
fingr,名3,指,指
frukt,名3,果,果
kolor,名3,色,色
leter,名3,信,函
lingv,名3,语,语
maten,名3,晨,晨
popol,名3,民,民
punkt,名3,点,点
rimed,名3,方法,法
valor,名3,价,功
cxeval,名3,马,马
famili,名3,家,家
frauxl,名3,光棍,子
person,名3,人,人
semajn,名3,周,周
vesper,名3,夜,夜
vizagx,名3,脸,容
fenestr,名3,窗,窗
aer,名4,气,气
agx,名4,岁,年
cel,名4,目标,目
fer,名4,铁,铁
ide,名4,观,思
kat,名4,猫,猫
kol,名4,颈,环
mez,名4,中,中
naz,名4,谜,秘
nub,名4,云,云
ord,名4,序,列
pan,名4,饼,饼
roz,名4,玫瑰,花
best,名4,动,物
bord,名4,岸,岸
brak,名4,臂,臂
dent,名4,牙,牙
fajr,名4,火,火
fisx,名4,鱼,鱼
flor,名4,花,花
glas,名4,杯,杯
hund,名4,狗,牧
korp,名4,身,体
lakt,名4,乳,奶
lign,名4,木,木
lini,名4,线,线
mark,名4,标,标
negx,名4,雪,雪
nokt,名4,夜,夜
onkl,名4,叔,叔
orel,名4,耳,听
plum,名4,笔,笔
pluv,名4,雨,雨
rond,名4,圆,环
sang,名4,血,血
segx,名4,性,性
spec,名4,类,种
stat,名4,状,国
supr,名4,顶,顶
sxip,名4,船,船
vitr,名4,玻,璃
angul,名4,角,角
dauxr,名4,持,持
dolor,名4,痛,痛
gazet,名4,报纸,报
kauxz,名4,因,因
kutim,名4,习惯,常
minut,名4,分,时
monat,名4,月,月
natur,名4,自,自
nombr,名4,号,数
paper,名4,纸,纸
plank,名4,板,地
river,名4,河,河
somer,名4,夏,季
staci,名4,站,站
strat,名4,道路,道
suker,名4,糖,糖
sxton,名4,石,石
vagon,名4,车厢,车
veter,名4,风,风
vintr,名4,冬,寒
auxtun,名4,秋,秋
cxapel,名4,帽,帽
direkt,名4,指,向
kolekt,名4,集,集
moment,名4,瞬,速
plezur,名4,乐,乐
vilagx,名4,村,村
ekzempl,名4,例,范
gxarden,名4,园,园
histori,名4,史,史
printemp,名4,春,春
bov,名5,牛,牛
ink,名5,墨,墨
kaf,名5,咖,啡
kok,名5,鸡,雀
kuk,名5,糕,糕
kuz,名5,亲,亲
lag,名5,湖,湖
lim,名5,界,界
lun,名5,月,星
maj,名5,五,春
pak,名5,包,包
sak,名5,包,袋
sum,名5,总,总
tru,名5,洞,洞
vin,名5,酒,酒
anim,名5,灵魂,心
azen,名5,驴,畜
benk,名5,凳,椅
dors,名5,背,背
foli,名5,叶,叶
font,名5,源,泉
fund,名5,基,底
genu,名5,膝,膝
gren,名5,谷,米
grup,名5,群,集
herb,名5,草,草
juli,名5,七月,夏
juni,名5,六,夏
kart,名5,卡,卡
klas,名5,班,类
korb,名5,篮,筐
kruc,名5,十,交
krur,名5,腿,步
lang,名5,舌,舌
legx,名5,法,法
lund,名5,一,月
mard,名5,火,辰
mart,名5,春,春
ofic,名5,职,职
ombr,名5,影,影
pagx,名5,页,页
pork,名5,猪,豚
posx,名5,袋,袋
radi,名5,射,波
regx,名5,王,王
senc,名5,心,心
stel,名5,星,星
sxaf,名5,羊,羊
verk,名5,作品,文
vocx,名5,声,声
adres,名5,地址,地
april,名5,四月,春
brust,名5,胸,胸
buter,名5,黄油,油
donac,名5,赠,赠
glaci,名5,冰,冰
kuler,名5,勺,勺
mastr,名5,老板,主
muzik,名5,音乐,乐
numer,名5,数,数
posxt,名5,邮,邮
prunt,名5,借,贷
sabat,名5,安息日,日
sxtat,名5,国,国
sxtup,名5,阶,级
teler,名5,盘,盘
terur,名5,恐,恐
vapor,名5,汽,蒸
insekt,名5,虫,虫
januar,名5,一月,月
jxauxd,名5,木,木
kovert,名5,信封,夹
krajon,名5,铅笔,笔
manier,名5,方式,法
objekt,名5,物,物
oktobr,名5,十月,秋
plafon,名5,顶,顶
region,名5,区域,区
religi,名5,宗教,教
spirit,名5,灵魂,气
argxent,名5,银,银
dangxer,名5,险,险
decembr,名5,十二月,月
dimancx,名5,日,日
februar,名5,二月,春
horlogx,名5,钟,时
merkred,名5,水,日
novembr,名5,十一月,秋
produkt,名5,产品,品
vendred,名5,周五,日
septembr,名5,九月,秋
bar,名6,障,难
bek,名6,嘴,喙
fak,名6,科,域
fum,名6,烟,烟
gas,名6,气,气
gut,名6,滴,滴
jak,名6,夹克,服
kel,名6,地下室,室
kuv,名6,桶,桶
lip,名6,唇,唇
nep,名6,孙,孙
nev,名6,亲,亲
not,名6,记录,记
ole,名6,油,油
ond,名6,波,波
ost,名6,骨,骨
par,名6,对,双
pom,名6,苹果,子
pot,名6,壶,器
rad,名6,轮,轮
ret,名6,网,网
sal,名6,盐,盐
sap,名6,皂,皂
sem,名6,种,种
sud,名6,南,南
sup,名6,汤,汤
sxu,名6,靴,鞋
tas,名6,碗,茶
tol,名6,织,织
tuk,名6,布,布
ung,名6,爪,爪
val,名6,谷,地
vic,名6,村,区
barb,名6,须,须
bros,名6,刷,刷
fakt,名6,事,实
flag,名6,旗,旗
fork,名6,叉,分
forn,名6,炉,炉
gast,名6,客,客
gras,名6,脂,油
kapr,名6,羊,山
karb,名6,炭,煤
kest,名6,箱,箱
korn,名6,角,角
krim,名6,罪,法
lamp,名6,灯,灯
mebl,名6,家,具
mien,名6,面,容
musx,名6,虫,虫
nord,名6,北,北
past,名6,食,餐
pilk,名6,球,球
pint,名6,尖,尖
polv,名6,尘,尘
pont,名6,桥,桥
prez,名6,价,价
rand,名6,边,缘
regn,名6,国,国
seri,名6,系,列
sign,名6,标,标
sort,名6,命,天
spic,名6,料,料
vang,名6,颊,面
vost,名6,尾,尾
vund,名6,伤,伤
botel,名6,瓶,瓶
buton,名6,钮,钮
cifer,名6,数字,数
faden,名6,线,线
frunt,名6,额,额
hauxt,名6,皮,肤
honor,名6,荣誉,信
insul,名6,岛,岛
kajer,名6,本,本
kamen,名6,炉,暖
legom,名6,蔬,菜
liter,名6,字,字
metal,名6,金属,金
pingl,名6,乒,球
polic,名6,警,警
polur,名6,污染,光
premi,名6,奖,奖
regul,名6,规,法
sezon,名6,季,时
sxanc,名6,机遇,机
sxnur,名6,绳,绳
tabul,名6,桌,台
viand,名6,肉,肉
baston,名6,杖,杖
brancx,名6,枝,枝
cxemiz,名6,衬,衫
doktor,名6,医,医
kravat,名6,领带,带
lecion,名6,课,教
masxin,名6,机,机
milion,名6,万,亿
najbar,名6,邻,邻
parenc,名6,亲,亲
publik,名6,公,民
scienc,名6,科,学
sekret,名6,秘,密
skatol,名6,箱,盒
soldat,名6,兵,兵
spegul,名6,镜,镜
sxargx,名6,货,货
sxrank,名6,柜,柜
tualet,名6,厕,间
cxapitr,名6,章,章
fromagx,名6,酪,酪
kondicx,名6,条件,规
praktik,名6,实践,实
serpent,名6,蛇,蛇
sxtrump,名6,靴,鞋
tegment,名6,屋,顶
telefon,名6,电话,话
industri,名6,工,工
kilogram,名6,克,量
okcident,名6,西,西
pantalon,名6,裤,裤
abi,名7,树,林
agl,名7,鹰,者
ber,名7,果,果
bot,名7,靴,靴
bul,名7,球,石
dat,名7,日,时
glu,名7,粘,胶
jup,名7,裙,裙
kav,名7,洞,洞
lan,名7,毛,毛
led,名7,革,革
mod,名7,潮,流
mor,名7,风俗,风
pin,名7,松,林
pip,名7,管,管
piz,名7,豆,豆
put,名7,井,水
rel,名7,轨,轨
riz,名7,米,米
rok,名7,岩,岩
suk,名7,汁,液
tem,名7,题,题
tub,名7,管,管
tur,名7,塔,塔
vat,名7,岩,岩
vaz,名7,瓶,碗
zon,名7,带,带
arme,名7,军,队
bank,名7,银,资
bien,名7,土地,园
bier,名7,啤,酒
bret,名7,架,架
brik,名7,砖,砖
cikl,名7,周期,环
cxap,名7,帽,帽
drat,名7,线,线
epok,名7,纪元,年
fask,名7,捆,束
feri,名7,假,假
film,名7,影,片
flam,名7,火,火
flos,名7,筏,筏
fojn,名7,草,草
fulm,名7,雷,雷
glob,名7,球,球
grad,名7,级,度
gust,名7,味,味
kadr,名7,框,框
krem,名7,霜,霜
kurb,名7,弯,曲
kurs,名7,课,班
larm,名7,泪,泪
leon,名7,狮,物
litr,名7,升,升
luks,名7,奢,奢
meti,名7,职业,工
metr,名7,尺,量
najl,名7,钉,钉
nest,名7,巢,洞
pajl,名7,草,草
plac,名7,场,地
plad,名7,盘,盘
plan,名7,计划,划
poet,名7,诗,文
pugn,名7,拳,拳
ring,名7,环,果
sabl,名7,沙,沙
scen,名7,舞台,场
skal,名7,刻度,度
soci,名7,社,友
spac,名7,空间,地
stal,名7,厩,马
task,名7,任务,务
tomb,名7,墓,墓
verm,名7,虫,虫
vers,名7,诗,诗
viol,名7,花,花
agord,名7,和,和
balon,名7,球,球
bilet,名7,票,票
burgx,名7,城,富
centr,名7,中,中
etagx,名7,楼,台
farun,名7,面,面
figur,名7,形,态
frost,名7,霜,寒
gorgx,名7,喉,喉
grund,名7,土,地
haven,名7,港,港
hotel,名7,酒店,店
humor,名7,幽默,心
karot,名7,萝卜,萝
katar,名7,感冒,病
kling,名7,刀,刀
koton,名7,棉,棉
kvant,名7,量,量
lepor,名7,兔,兔
makul,名7,斑,污
manik,名7,袖,袖
membr,名7,成员,分
mizer,名7,悲,苦
nebul,名7,雾,雾
organ,名7,器官,器
parti,名7,派,派
pastr,名7,祭司,师
radik,名7,根,根
serur,名7,锁,锁
solid,名7,固,固
sonor,名7,声,音
strek,名7,线,线
sxvit,名7,汗,汗
tabak,名7,烟,烟
tabel,名7,桌,表
titol,名7,标题,名
tondr,名7,雷,雷
valiz,名7,箱,包
ventr,名7,腹,肠
alumet,名7,火柴,火
aparat,名7,设备,装
brasik,名7,菜,菜
citron,名7,柠,果
cxifon,名7,破烂,布
dekliv,名7,坡,坡
dezert,名7,沙漠,地
elektr,名7,电,电
energi,名7,能,能
fiancx,名7,未婚夫,人
hirund,名7,燕,燕
kelner,名7,侍,员
kvalit,名7,质,质
majstr,名7,大师,家
mantel,名7,外套,服
martel,名7,锤,锤
matrac,名7,垫,垫
menton,名7,下巴,下
orangx,名7,橙,果
origin,名7,源,初
potenc,名7,权力,力
salajr,名7,薪,资
sekund,名7,秒,时
societ,名7,社会,会
stomak,名7,胃,肠
sxultr,名7,肩,肩
tapisx,名7,毯,品
tritik,名7,麦,麦
aventur,名7,冒险,探
cigared,名7,烟,烟
distanc,名7,距,距
embaras,名7,窘,不
kamarad,名7,朋友,友
kaserol,名7,锅,锅
komitat,名7,委,委
kongres,名7,会,会
kvadrat,名7,正方,方
magazen,名7,商店,货
pasport,名7,护照,证
politik,名7,政,政
registr,名7,登,记
ter/pom##,名7,土,薯
akcident,名7,事故,事
auxtobus,名7,巴士,车
auxtomat,名7,自动,自
cxokolad,名7,巧克力,力
direktor,名7,经理,长
instinkt,名7,本能,觉
karakter,名7,性,性
kauxcxuk,名7,橡,胶
material,名7,材,料
standard,名7,标,旗
telegraf,名7,电,报
restoraci,名7,餐,店
ark,名8,弧,形
baz,名8,基,基
beb,名8,婴,儿
bub,名8,顽,小
bud,名8,葡,果
fel,名8,毛,毛
hok,名8,勾,钩
huf,名8,蹄,蹄
jur,名8,法,法
kas,名8,库,箱
kin,名8,影,影
kom,名8,食,食
kot,名8,土,土
lup,名8,狼,狼
mam,名8,乳,乳
map,名8,图,图
min,名8,矿,矿
mus,名8,鼠,鼠
net,名8,净,净
nod,名8,结,结
orf,名8,孤,孤
ort,名8,角,方
pat,名8,锅,锅
pil,名8,电,电
pir,名8,果,果
pup,名8,偶,人
rat,名8,鼠,鼠
rip,名8,折,骨
rob,名8,机,机
tip,名8,范,范
ton,名8,音,曲
urs,名8,熊,熊
var,名8,品,品
vel,名8,帆,海
vit,名8,藤,树
abel,名8,蜜蜂,虫
auxt,名8,车,车
bluz,名8,衬衫,服
boat,名8,船,艇
brov,名8,眉,眉
cerb,名8,脑,脑
cxek,名8,支,票
cxen,名8,链,锁
disk,名8,盘,碟
dram,名8,剧,剧
drap,名8,布,旗
dusx,名8,淋,洗
ezok,名8,鱼,鱼
farb,名8,颜,料
febr,名8,热,发
fend,名8,裂,裂
foir,名8,市场,市
fost,名8,基,基
frag,名8,莓,果
fulg,名8,闪电,煤
funt,名8,磅,量
gant,名8,手套,手
geni,名8,才,才
glor,名8,荣,荣
golf,名8,湾,湾
hajl,名8,雹,冰
hero,名8,英,士
kemi,名8,化,化
kord,名8,绳,带
kork,名8,塞,塞
krad,名8,网,格
kran,名8,龙头,阀
kret,名8,石灰,墙
kriz,名8,危,难
kron,名8,冠,权
kugl,名8,弹,弹
kupr,名8,铜,铜
lift,名8,升,升
list,名8,目,表
mast,名8,桅,杆
nadl,名8,针,针
nerv,名8,神,神
oliv,名8,橄榄,果
park,名8,园,园
pasi,名8,爱,情
pask,名8,节,日
pelt,名8,皮,皮
plet,名8,盘,盆
poem,名8,诗,诗
proz,名8,散,文
pulm,名8,肺,肺
pulv,名8,粉,粉
rang,名8,位,位
revu,名8,刊,刊
ritm,名8,节奏,节
seks,名8,性,性
sens,名8,感,觉
silk,名8,丝,丝
simi,名8,猴,猴
sojl,名8,屋,舍
stil,名8,风格,式
stri,名8,条,条
sxel,名8,壳,壳
tend,名8,篷,帐
verb,名8,动,动
verg,名8,枝,枝
vert,名8,顶,顶
vidv,名8,鳏,孤
virt,名8,德,德
vual,名8,纱,掩
vulp,名8,狐,狐
afisx,名8,海报,告
album,名8,册,集
almoz,名8,施,助
arane,名8,蜘,网
asoci,名8,协会,会
avenu,名8,大道,道
aviad/il##,名8,飞,机
barel,名8,桶,桶
bazar,名8,市场,商
betul,名8,桦,树
brems,名8,刹,制
butik,名8,店,店
detal,名8,细,细
diabl,名8,魔,恶
emoci,名8,情,情
enigm,名8,谜,秘
esenc,名8,本质,实
fauxk,名8,口,口
fizik,名8,物理,物
framb,名8,莓,果
grajn,名8,谷,粒
hxemi,名8,化,合
ideal,名8,理,志
juvel,名8,宝,金
katen,名8,锁链,束
kitel,名8,制服,服
krucx,名8,壶,水
krust,名8,壳,层
kubut,名8,肘,臂
kukol,名8,鸟,雀
kverk,名8,橡,树
lamen,名8,片,片
marcx,名8,沼,地
metod,名8,方法,法
model,名8,模型,示
motor,名8,发动机,动
nivel,名8,水平,度
palac,名8,宫,宫
panj,名8,母,母
penik,名8,笔,画
piocx,名8,锄,锄
plumb,名8,铅,铅
poezi,名8,诗,文
salon,名8,厅,室
sauxc,名8,酱,酱
sitel,名8,桶,桶
sklav,名8,奴隷,工
sport,名8,运动,球
stamp,名8,印,印
stang,名8,杆,棒
stump,名8,桩,桩
sxtal,名8,钢,钢
sxtof,名8,反,物
teatr,名8,剧,剧
teori,名8,理论,理
teren,名8,土地,地
trajn,名8,火车,车
trajt,名8,特征,特
trunk,名8,干,干
venen,名8,毒,毒
vesxt,名8,衣,服
abomen,名8,厌,责
angxel,名8,天使,天
animal,名8,动物,物
apetit,名8,食欲,食
apotek,名8,药,药
benzin,名8,汽油,油
bicikl,名8,车,车
bombon,名8,糖,糖
cement,名8,水泥,料
cxeriz,名8,樱桃,果
desert,名8,沙漠,地
fabrik,名8,工厂,厂
financ,名8,财政,资
funebr,名8,丧,痛
funkci,名8,功能,能
garagx,名8,库,车
imperi,名8,帝,国
impost,名8,税,税
impres,名8,印象,印
kalkan,名8,踵,跟
kalson,名8,裤,裤
kamion,名8,卡车,车
kandel,名8,蜡,蜡
kanzon,名8,歌,歌
kastel,名8,城堡,城
klient,名8,客,客
kol/um##,名8,领,服
kurten,名8,帘,帘
mandat,名8,委托,书
mister,名8,神秘,秘
moskit,名8,蚊,虫
muskol,名8,肌,肌
ombrel,名8,伞,伞
pacxj,名8,父,父
parfum,名8,香,香
patron,名8,赞助人,者
petrol,名8,石油,油
posten,名8,岗,位
pozici,名8,位置,位
proces,名8,程序,程
profit,名8,利,利
proviz,名8,储,存
pulvor,名8,粉,粉
recept,名8,配方,方
rekord,名8,记录,录
rezerv,名8,保,留
signal,名8,信,示
sistem,名8,系统,程
surfac,名8,表,面
sxofor,名8,司机,车
tajlor,名8,裁缝,师
trezor,名8,金库,宝
trikot,名8,针织,织
vakcin,名8,疫苗,疫
advokat,名8,律师,法
alkohol,名8,酒,酒
ampleks,名8,范围,度
brosxur,名8,册,册
bulvard,名8,大道,路
deficit,名8,赤字,缺
ekonomi,名8,经济,经
elefant,名8,象,象
jxurnal,名8,报,报
kabinet,名8,内阁,政
kapital,名8,资,资
koncert,名8,会,乐
krepusk,名8,黄昏,明
kvartal,名8,区,区
miliard,名8,亿,巨
pejzagx,名8,景,景
problem,名8,问题,难
profesi,名8,职业,职
simpati,名8,同情,感
student,名8,学生,生
sxrauxb,名8,螺,固
tempest,名8,风暴,风
traktor,名8,拖拉机,机
tri/angul##,名8,三,形
trotuar,名8,人行道,道
adjektiv,名8,形容词,词
dekoraci,名8,装饰,饰
ekvilibr,名8,平衡,平
esperant,名8,语,语
hospital,名8,医院,中
intelekt,名8,智,智
kalendar,名8,历,历
kilometr,名8,公里,程
komision,名8,审查,查
mehxanik,名8,机械,器
milimetr,名8,毫米,米
original,名8,原,原
pretekst,名8,借口,装
struktur,名8,结构,构
telegram,名8,电报,报
tribunal,名8,法庭,法
bibliotek,名8,馆,书
fundament,名8,基,基
ingxenier,名8,工,师
konferenc,名8,会,会
konscienc,名8,良心,心
literatur,名8,文,文
mehxanism,名8,机械,器
rekompenc,名8,奖励,金
respublik,名8,国,国
sekretari,名8,秘书,员
apartament,名8,公寓,房
auxtomobil,名8,汽车,车
auxtoritat,名8,权,权
instrument,名8,器,器
medikament,名8,药,药
temperatur,名8,温,温
cirkonstanc,名8,环境,境
eksperiment,名8,实验,试
mal/varm/um##,名8,病,不
ajl,名9,蒜,蒜
akn,名9,痘,疹
aks,名9,轴,轴
akt,名9,剧,剧
ale,名9,荫,道
alg,名9,藻,水
apr,名9,猪,猪
azi,名9,亚,亚
bal,名9,舞,舞
bet,名9,植,林
buk,名9,扣,扣
cep,名9,葱,料
cir,名9,鞋,鞋
dot,名9,资,金
ehx,名9,响,响
fab,名9,豆,豆
fac,名9,脸,容
fag,名9,橡,木
fig,名9,果,果
gal,名9,胆,液
gru,名9,鹤,鸟
gum,名9,橡,胶
hal,名9,环,环
jug,名9,汁,汁
kal,名9,病,病
kaz,名9,情况,事
kub,名9,块,方
lad,名9,板,板
lak,名9,漆,漆
lap,名9,蔬,生
lin,名9,麻,麻
lot,名9,彩,彩
luk,名9,窗,窗
mas,名9,块,块
mat,名9,垫,垫
nuk,名9,颈,后
pap,名9,教宗,教
pav,名9,鸟,华
pig,名9,鸟,鸟
pus,名9,脓,病
ran,名9,蛙,蛙
ren,名9,肾,尿
rib,名9,果,果
rim,名9,诗,诗
rol,名9,角,位
ros,名9,露,露
sag,名9,箭,箭
sin,名9,思,念
ski,名9,滑,雪
sof,名9,沙,沙
tig,名9,茎,茎
tuf,名9,簇,束
tun,名9,单,单
vip,名9,鞭,鞭
akci,名9,股,股
atom,名9,原子,子
aven,名9,麦,麦
bant,名9,饰,饰
bark,名9,船,艇
bask,名9,篮,篮
bend,名9,绳,带
blok,名9,块,块
bors,名9,交,市
bovl,名9,碗,碗
brid,名9,马,马
brut,名9,畜,畜
bukl,名9,卷,卷
bulb,名9,球茎,球
bulk,名9,饼,面
cerv,名9,鹿,狍
cign,名9,鹅,禽
cxel,名9,细胞,细
dand,名9,帅,子
diet,名9,食,食
dorn,名9,针,刺
etap,名9,阶段,程
etat,名9,账,细
fecx,名9,沉,积
felt,名9,毡,布
frak,名9,西装,服
fraz,名9,句,语
fung,名9,菌,菌
garb,名9,雅,雅
gent,名9,民,民
glav,名9,剑,刀
gobi,名9,鱼,鱼
gram,名9,克,量
greg,名9,群,群
grip,名9,流感,炎
grot,名9,洞,洞
gudr,名9,沥青,材
gxib,名9,肿,物
hegx,名9,墙,墙
himn,名9,赞,歌
hxor,名9,合,唱
kacx,名9,痒,酒
kagx,名9,笼,笼
kaka,名9,可,巧
kakt,名9,仙人掌,生
karn,名9,肉,体
karp,名9,鲤,鱼
kejl,名9,橛,木
kern,名9,核,核
klub,名9,俱,会
korv,名9,鸦,鸟
kosm,名9,宇宙,星
kult,名9,宗教,敬
lacx,名9,绳,带
lard,名9,脂,油
larv,名9,幼虫,虫
lice,名9,校,学
likv,名9,液,液
lili,名9,花,花
maiz,名9,玉米,物
malv,名9,紫罗兰,栽
mens,名9,思,智
menu,名9,菜单,单
miel,名9,蜜,糖
musk,名9,苔,苔
muze,名9,馆,馆
nuks,名9,核,果
oper,名9,剧,剧
oval,名9,椭,形
palm,名9,棕,棕
palt,名9,外套,服
pane,名9,停,停
perl,名9,珠,珠
pian,名9,琴,音
pice,名9,木,木
pipr,名9,椒,椒
plag,名9,灾,苦
prun,名9,李,果
pudr,名9,粉,粉
punt,名9,点,边
raci,名9,理,理
rent,名9,租,费
ruin,名9,废,废
rust,名9,锈,锈
situ,名9,位置,地
sled,名9,橇,雪
sorg,名9,谷,谷
spik,名9,穗,穗
spur,名9,迹,迹
stan,名9,金,金
sulk,名9,沟,沟
takt,名9,拍,律
tali,名9,躯,体
tigr,名9,虎,虎
tort,名9,派,糕
tram,名9,电,车
trup,名9,团,团
vaks,名9,蜡,蜡
vejn,名9,脉,血
vesp,名9,蜂,蜂
vind,名9,尿布,裤
zink,名9,锌,锌
afrik,名9,非,民
agent,名9,代,代
akord,名9,和,和
akrid,名9,蝗,虫
aktor,名9,演员,演
alarm,名9,警,警
ampol,名9,药,药
angil,名9,鱼,鱼
anser,名9,鹅,雁
artik,名9,关,接
bacil,名9,细菌,菌
bambu,名9,竹,竹
banan,名9,香蕉,果
brand,名9,酒,酒
bronz,名9,铜,铜
buked,名9,花,花
cigar,名9,卷烟,烟
cikad,名9,蝉,虫
cinam,名9,桂,桂
cindr,名9,灰,灰
cirkl,名9,圆,环
civit,名9,市,民
cxerk,名9,棺,棺
debet,名9,债,债
diant,名9,花,植
dogan,名9,税,税
efekt,名9,效,效
ekran,名9,屏,示
emajl,名9,琺,漆
event,名9,事件,事
fabel,名9,寓言,文
fasad,名9,立面,面
fason,名9,款式,设
fluid,名9,液,液
fotel,名9,椅,椅
front,名9,前,面
funel,名9,漏,输
gxerm,名9,胚芽,生
hepat,名9,肝,肝
horde,名9,谷,麦
infer,名9,冥,界
ironi,名9,讽,笑
kaban,名9,屋子,屋
kahel,名9,砖,砖
kajut,名9,舱,室
kamel,名9,骆驼,沙
kanal,名9,渠,水
kankr,名9,蟹,蟹
karaf,名9,瓶,水
kokos,名9,椰,果
krani,名9,颅,骨
krest,名9,峰,起
kukum,名9,黄瓜,瓜
kupon,名9,券,券
kusen,名9,垫,垫
latun,名9,铜,金
lauxb,名9,园,园
lekci,名9,课,教
lesiv,名9,损,损
limak,名9,蜗牛,虫
logik,名9,逻辑,理
lotus,名9,莲,花
melon,名9,瓜,瓜
moral,名9,德,德
muzel,名9,鼻,鼻
nilon,名9,尼,料
ocean,名9,海,海
palat,名9,腭,腭
palis,名9,桩,杆
papag,名9,鹦鹉,鹦
paser,名9,鸟,鸟
pensi,名9,金,金
peron,名9,台,梯
pilot,名9,飞行员,员
pland,名9,计划,板
plast,名9,塑,材
porci,名9,份,份
princ,名9,王,王
pupil,名9,学,学
rabat,名9,折扣,减
rafan,名9,萝卜,萝
rauxp,名9,虫,虫
resum,名9,摘要,要
rimen,名9,带,带
roman,名9,小说,小
salat,名9,沙,菜
salik,名9,柳,柳
satir,名9,讽,笑
sciur,名9,鼠,鼠
sekal,名9,黑麦,谷
sekci,名9,段,分
senat,名9,参,政
split,名9,分,片
spong,名9,海绵,海
stadi,名9,阶段,阶
statu,名9,像,像
sterk,名9,肥,肥
strig,名9,鸮,枭
strut,名9,鸵,禽
sxink,名9,料,料
sxtip,名9,屑,木
tapet,名9,纸,画
tarif,名9,税,税
tegol,名9,顶,顶
tekst,名9,文章,文
teras,名9,台,台
tomat,名9,番茄,茄
tuber,名9,块茎,块
tunel,名9,隧,隧
velur,名9,绒,绒
veruk,名9,疣,斑
vezik,名9,囊,泡
volum,名9,册,本
adverb,名9,副,辅
akcent,名9,重,音
alauxd,名9,鸟,雀
amator,名9,爱好者,者
amerik,名9,美,国
arteri,名9,动脉,脉
asfalt,名9,沥青,道
auxtor,名9,著,作
barbir,名9,理,发
bugxet,名9,预算,预
bulten,名9,报,报
cikatr,名9,疤,伤
cikoni,名9,鹳,鸟
cirkel,名9,圆,环
