世界语单词##,候选汉字##
grot,洞
gudr,沥青
gxib,肿
hegx,墙
himn,赞
hxor,合
kacx,痒
kagx,笼
kaka,可
kakt,仙人掌
karn,肉
karp,鲤
kejl,橛
kern,核
klub,俱
korv,鸦
kosm,宇宙
kult,宗教
lacx,绳
lard,脂
larv,幼虫
lice,校
likv,液
lili,花
maiz,玉米
malv,紫罗兰
mens,思
menu,菜单
miel,蜜
musk,苔
muze,馆
nuks,核
oper,剧
oval,椭
palm,棕
palt,外套
pane,停
perl,珠
pian,琴
pice,木
pipr,椒
plag,灾
prun,李
pudr,粉
punt,点
raci,理
rent,租
ruin,废
rust,锈
situ,位置
sled,橇
sorg,谷
spik,穗
spur,迹
stan,金
sulk,沟
takt,拍
tali,躯
tigr,虎
tort,派
tram,电
trup,团
vaks,蜡
vejn,脉
vesp,蜂
vind,尿布
zink,锌
afrik,非
agent,代
akord,和
akrid,蝗
aktor,演员
alarm,警
ampol,药
angil,鱼
anser,鹅
artik,关
bacil,细菌
bambu,竹
banan,香蕉
brand,酒
bronz,铜
buked,花
cigar,卷烟
cikad,蝉
cinam,桂
cindr,灰
cirkl,圆
civit,市
cxerk,棺
debet,债
diant,花
dogan,税
efekt,效
ekran,屏
emajl,琺
event,事件
fabel,寓言
fasad,立面
fason,款式
fluid,液
fotel,椅
front,前
funel,漏
gxerm,胚芽
hepat,肝
horde,谷
infer,冥
ironi,讽
kaban,屋子
kahel,砖
kajut,舱
kamel,骆驼
kanal,渠
kankr,蟹
karaf,瓶
kokos,椰
krani,颅
krest,峰
kukum,黄瓜
kupon,券
kusen,垫
latun,铜
lauxb,园
lekci,课
lesiv,损
limak,蜗牛
logik,逻辑
lotus,莲
melon,瓜
moral,德
muzel,鼻
nilon,尼
ocean,海
palat,腭
palis,桩
papag,鹦鹉
paser,鸟
pensi,金
peron,台
pilot,飞行员
pland,计划
plast,塑
porci,份
princ,王
pupil,学
rabat,折扣
rafan,萝卜
rauxp,虫
resum,摘要
rimen,带
roman,小说
salat,沙
salik,柳
satir,讽
sciur,鼠
sekal,黑麦
sekci,段
senat,参
split,分
spong,海绵
stadi,阶段
statu,像
sterk,肥
strig,鸮
strut,鸵
sxink,料
sxtip,屑
tapet,纸
tarif,税
tegol,顶
tekst,文章
teras,台
tomat,番茄
tuber,块茎
tunel,隧
velur,绒
veruk,疣
vezik,囊
volum,册
adverb,副
akcent,重
alauxd,鸟
amator,爱好者
amerik,美
arteri,动脉
asfalt,沥青
auxtor,著
barbir,理
bugxet,预算
bulten,报
cikatr,疤
cikoni,鹳
cirkel,圆
daktil,果
dialog,对话
ego/ist##,自私
eklezi,教堂
emerit,退
euxrop,欧
fajenc,瓷
fazeol,豆
fontan,泉
formik,蚁
formul,公式
fripon,骗子
furagx,旗
galosx,罩
gvardi,守
gxemel,双
hangar,库
haring,鲱
hazard,风险
hektar,公顷
herold,使者
higien,卫生
impuls,冲动
insign,徽
intest,肠
jubile,庆
karton,纸
kasked,帽
kavern,洞
kirurg,外
klimat,气候
klinik,诊所
kolegi,大学
kolomb,鸽
kolumn,柱
komedi,喜剧
konsul,领事
konval,铃兰
kornik,啄木鸟
kostum,服装
kredit,贷
kukurb,瓜
kunikl,兔
kurent,电流
lacert,蜥
licenc,许
maleol,踝
materi,物
mirtel,莓
monstr,怪
oficir,官
orator,演
papili,蝴蝶
pendol,摆
period,时期
persik,桃
pionir,先锋
planed,球
platan,梧
plural,群
profet,先知
prolet,无产者
pronom,代
reakci,反应
regxim,政
rivolu,革命
ruband,带
skorpi,蝎
spinac,菠菜
stamen,雄蕊
statur,身高
surtut,大衣
sxakal,豺
sxauxm,泡
teknik,技
testud,龟
torent,急
trafik,交通
tumult,混乱
turism,旅
turist,旅
vertic,顶
viktim,受害者
violon,小提琴
vulkan,火山
vultur,秃鹰
abrikot,杏
akademi,学
alfabet,字母
alumini,铝
ambasad,馆
anekdot,轶
apertur,孔
apostol,使徒
asemble,集会
bagatel,琐
bakteri,细菌
bandagx,绷带
bifstek,牛
budgxet,预算
burgxon,堡
central,中
cirkvit,电路
cxar/um##,车
dimensi,维度
ekvator,赤道
element,元素
epidemi,疫
fantazi,幻想
fenomen,现象
gelaten,凝
general,将
girland,环
harmoni,和
instanc,裁
invalid,残
kaldron,锅
kasxtan,栗
katalog,目录
kirurgi,外科
kolonel,上校
komisar,官
kompani,公司
koncept,概念
konkord,和
konkurs,竞赛
koridor,走廊
kristal,水晶
lantern,灯
latitud,纬度
medicin,药
mineral,矿物
minimum,最
ministr,大臣
obstakl,障
orkestr,乐团
pacifik,和
palpebr,睑
pantofl,拖
paradiz,天堂
paralel,平行
plastik,塑
portret,肖像
princip,原则
program,程序
projekt,项目
proverb,谚语
provinc,省
rendevu,约会
sin/ten##,态
situaci,情况
stadion,场
subjekt,对象
tehxnik,技
tendenc,趋势
tinktur,染剂
tradici,传统
tragedi,悲剧
traktat,条约
trumpet,喇叭
uniform,制服
vegetal,植物
viadukt,桥
volumen,体积
zoologi,动物学
atlantik,洋
avantagx,优势
bracelet,手镯
cirkuler,传
dokument,文件
federaci,联盟
generaci,代
geografi,地理
gramatik,语法
gxendarm,兵
horizont,天际
individu,个
kandidat,候选
karnaval,嘉年华
kategori,类
komun/um##,共
krokodil,鳄
longitud,长度
maksimum,最高
marmelad,果酱
monument,碑
parasxut,降落伞
pasagxer,乘客
pland/um##,底
porcelan,瓷
procent,率
profesor,教授
radiator,暖气片
regiment,团
rekt/angul##,矩形
sandvicx,三
sindikat,工会
singular,单
specimen,样品
spektakl,剧
substanc,物质
teritori,领土
vertikal,垂直
ambasador,大使
auxstrali,澳
centimetr,厘米
ekspozici,展
inspektor,督
kalkan/um##,踵
konfidenc,信
lokomotiv,火车
matematik,数学
metalurgi,冶
ministeri,部
najtingal,夜莺
ortografi,法
parlament,议会
proletari,无产者
propozici,提
psikologi,心理
suplement,补充
termometr,计
elektronik,电子
helikopter,直升机
horizontal,横
komplement,补充
konsekvenc,结果
konstituci,宪法
laboratori,室
leuxtenant,中尉
mediterane,地中海
substantiv,名
universitat,大学
s-ro##,先生
s-ino##,女
sinjor/in##,女士
alk,
aln,
ann,
bed,
boa,
buf,
cim,
col,
dam,
dig,
duk,
fav,
fok,
fut,
gad,
gam,
gri,
guf,
huz,
kan,
ken,
ker,
kil,
kuf,
kul,
kup,
laf,
lir,
lod,
lol,
mac,
mel,
mes,
mev,
muf,
muk,
mul,
nap,
peg,
pol,
pul,
rap,
rif,
rod,
rot,
rub,
rum,
rus,
seb,
sel,
tez,
tul,
ulm,
uln,
unc,
urn,
vil,
abat,
acer,
akar,
alte,
alun,
amel,
anas,
angl,
aniz,
ankr,
arcx,
arde,
aren,
atut,
avel,
aviz,
azot,
bast,
bert,
blat,
bram,
bran,
burd,
cedr,
citr,
cxam,
cxan,
dogm,
drak,
drog,
ebon,
eter,
fabl,
falk,
fibr,
flan,
flok,
flut,
fraj,
ftiz,
gajl,
gips,
glan,
glim,
graf,
gril,
gros,
gurd,
ibis,
idol,
kalk,
kand,
kard,
karo,
kask,
kaze,
kegl,
klap,
klav,
kluz,
kojn,
koks,
konk,
kren,
krep,
krop,
krup,
lake,
laks,
legi,
lent,
lepr,
lian,
lien,
link,
liut,
lojt,
lorn,
lumb,
lutr,
magi,
mana,
mari,
mask,
masx,
mecx,
mejl,
ment,
merl,
mesi,
mili,
mirh,
mirt,
misi,
mops,
most,
nicx,
omar,
opal,
ostr,
paru,
pecx,
pelv,
perk,
pest,
petr,
pini,
pips,
plik,
plot,
popl,
pram,
sakr,
salm,
sepi,
sofi,
sorp,
spat,
spin,
stab,
step,
stip,
stof,
stup,
sxak,
sxal,
sxam,
taft,
talp,
tetr,
tibi,
tili,
tine,
torf,
trab,
tref,
tril,
trip,
trog,
tron,
truf,
trul,
trut,
turd,
turk,
turt,
uter,
uxat,
vafl,
vals,
vekt,
zebr,
altar,
ambos,
anton,
ardez,
argil,
aspid,
balen,
barcx,
boben,
brank,
bubal,
bufed,
cejan,
dativ,
datur,
demon,
denar,
deviz,
domen,
embri,
emili,
ermen,
ermit,
facet,
fazan,
femur,
filik,
flegm,
fokus,
franc,
frank,
fring,
galon,
gazel,
genot,
georg,
gitar,
gland,
grosx,
hebre,
heder,
herez,
herni,
hirud,
hosti,
husar,
hxaos,
idili,
johan,
jozef,
kalik,
kambi,
kamer,
kanab,
kanap,
kapel,
kapon,
kapor,
kapot,
karas,
karob,
katun,
kerub,
kiras,
klaft,
klosx,
koaks,
koleg,
kolon,
komiz,
komod,
konus,
kopek,
koran,
kramp,
kring,
krisp,
krist,
kupol,
kvarc,
kvart,
lanug,
lauxr,
libel,
liken,
livre,
logxi,
lupol,
lustr,
luter,
medal,
meriz,
moned,
morus,
mosxt,
negoc,
nobel,
novic,
nuanc,
oblat,
okzal,
orden,
orgen,
pagxi,
papav,
pariz,
pauxl,
pavim,
pedik,
percx,
piked,
pilol,
pirit,
pirol,
piroz,
pisxt,
plusx,
poent,
pokal,
polus,
potas,
prujn,
pudel,
pumik,
puncx,
putor,
raben,
rapir,
regol,
rezin,
rostr,
ruben,
safir,
salvi,
sigel,
silab,
silik,
silur,
silvi,
sirop,
skabi,
skadr,
skarp,
skvam,
sorik,
spion,
spron,
stabl,
sturg,
sturn,
sxalm,
sxark,
sxelk,
sxild,
sxind,
sxlim,
taban,
tavol,
tempi,
tetan,
tetra,
timon,
topaz,
torcx,
tromb,
tulip,
ulcer,
urtik,
vanil,
vasal,
velen,
verst,
vezir,
vipur,
vokal,
zenit,
zibel,
zizel,
absces,
absint,
alcion,
amfibi,
ananas,
artrit,
atripl,
berlin,
bismut,
boraks,
buljon,
bulonj,
busxel,
centim,
cikori,
cimbal,
cinabr,
cipres,
cxarpi,
damask,
delfen,
didelf,
embusk,
epolet,
erinac,
ernest,
eskadr,
faktur,
falbal,
fantom,
faring,
fenkol,
ferdek,
fistul,
flanel,
fosfor,
frangx,
furunk,
fusten,
galeri,
gamasx,
german,
granat,
granit,
grenad,
grifel,
gxiraf,
haladz,
hamstr,
hispan,
hximer,
hxoler,
ingven,
izrael,
jasmen,
kalesx,
kalvin,
kamfor,
kamlot,
kanajl,
kanari,
kantor,
kanvas,
kapsul,
kapucx,
kardel,
karmin,
karpen,
kastor,
kaviar,
kobalt,
kobold,
kolbas,
kolibr,
kolimb,
kolubr,
komuni,
kontor,
kontur,
kornic,
korpus,
koturn,
kraken,
kratag,
krater,
kronik,
kurier,
lampir,
laring,
lavang,
legend,
lekant,
lentug,
levkoj,
likvor,
litani,
london,
magnet,
makzel,
mangan,
markot,
marmor,
marmot,
mastik,
migdal,
miogal,
miozot,
monahx,
morbil,
morter,
muskat,
muslin,
mustel,
nanken,
narcis,
nikola,
notari,
orakol,
paletr,
panter,
parget,
parohx,
parter,
pastel,
patent,
patrol,
pfenig,
pistak,
pistol,
plastr,
platen,
ponard,
porfir,
porter,
primol,
prunel,
purpur,
rekrut,
rempar,
risort,
rosmar,
rozari,
rubrik,
safran,
sambuk,
sankci,
sardel,
sceptr,
selakt,
servic,
servut,
siring,
skapol,
skarab,
skolop,
skurgx,
sofism,
sopran,
spalir,
stefan,
sufiks,
sukcen,
sulfur,
talent,
tambur,
tenden,
teodor,
termin,
testik,
timian,
tombak,
trahxe,
tremol,
tribun,
tropik,
turban,
turkis,
turnir,
urogal,
variol,
viburn,
vikari,
vinagr,
vizier,
volupt,
ablativ,
antimon,
arleken,
arsenik,
artifik,
asparag,
bajonet,
bastion,
beladon,
biskvit,
cxampan,
cxarnir,
diamant,
episkop,
esxafod,
fraksen,
frangol,
fringel,
genitiv,
henriet,
hidrarg,
hiskiam,
histrik,
jugland,
juniper,
kalikot,
kamizol,
kamomil,
kapitan,
kapitel,
kapreol,
kapucen,
karaben,
kartocx,
karusel,
kavalir,
klarnet,
klister,
koklusx,
kolofon,
kompres,
kurator,
kvitanc,
leontod,
leopard,
limonad,
lonicer,
ludovik,
lunatik,
maroken,
marsxal,
meleagr,
membran,
mihxael,
monarhx,
mustard,
negligx,
nikodem,
novjork,
oksigen,
oksikok,
parazit,
pastecx,
pelikan,
perdrik,
poligon,
prefiks,
redakci,
rinocer,
salpetr,
sentenc,
skarlat,
skorbut,
skrofol,
smerald,
sterled,
stertor,
sxiller,
umbilik,
univers,
varsovi,
verdigr,
vertebr,
vespert,
vestibl,
vilhelm,
virtuoz,
vitriol,
zingibr,
akcipitr,
akuzativ,
argument,
arhxaism,
artisxok,
baldaken,
briliant,
diplomat,
distrikt,
elizabet,
fragment,
framason,
frugileg,
hidrogen,
hortulan,
institut,
kantarid,
kariofil,
kartilag,
katarakt,
kocxenil,
kokcinel,
konvulsi,
leksikon,
marcipan,
medalion,
monarhxi,
obstrukc,
paradoks,
parentez,
particip,
pasament,
pastinak,
pergamen,
peritone,
perlamot,
petromiz,
petrosel,
ranunkol,
redaktor,
rezultat,
rosmaren,
sergxent,
sublimat,
tacxment,
terebint,
tornistr,
zamenhof,
aleksandr,
anunciaci,
balustrad,
cxambelan,
cxarlatan,
deklinaci,
diplomati,
ekscelenc,
ekzempler,
entuziasm,
fortepian,
galanteri,
ihxtiokol,
instituci,
instrukci,
kancelari,
kancelier,
kataplasm,
kondolenc,
konjugaci,
konjunkci,
konsonant,
korporaci,
kvaranten,
nominativ,
pentekost,
piedestal,
prepozici,
privilegi,
promontor,
salamandr,
testament,
vermicxel,
interjekci,
supersticx,
vasxington,
violoncxel,
arhxitektur,
interpunkci,
jork,
parok,
navig,
kaos,
kimer,
korus,
monak,
iktiokol,
ald,
alo,
api,
ari,
bas,
car,
dog,
dok,
doz,
ego,
elf,
etn,
faz,
fon,
fuk,
gaz,
gem,
hum,
jod,
jud,
kep,
lat,
lob,
mim,
mit,
muz,
nas,
nav,
niz,
oaz,
opi,
puf,
raj,
ras,
ref,
rit,
rut,
sod,
tif,
tog,
viz,
agat,
agxi,
alen,
ambr,
amor,
aort,
arom,
astm,
astr,
azil,
bard,
bomb,
bosk,
brom,
bust,
cend,
cidr,
cirk,
dali,
dign,
duel,
duet,
ebur,
eden,
egid,
erik,
etik,
etim,
fars,
fili,
fisk,
furi,
gnom,
grog,
gruz,
gxin,
hidr,
hien,
irid,
iris,
istm,
jesu,
junk,
kabl,
kali,
kame,
kast,
klor,
kofr,
kolz,
kont,
krab,
kres,
kupe,
laik,
lama,
lanc,
lens,
lord,
malt,
mani,
medi,
milv,
mitr,
moru,
mosk,
mumi,
naft,
negr,
nimb,
norm,
obol,
ogiv,
orgi,
ozon,
penc,
pleb,
podi,
polk,
pomp,
pore,
rabi,
rism,
romb,
rubl,
sabr,
sagu,
sald,
salv,
sekt,
sfer,
skem,
skol,
slip,
sokl,
sold,
sole,
spad,
sxah,
talk,
teni,
tiar,
tink,
tors,
tost,
trop,
turb,
ukaz,
ulan,
uzur,
verv,
vink,
visk,
vist,
vizi,
zuav,
abism,
adept,
afiks,
afust,
agraf,
akaci,
akciz,
aksel,
albin,
alibi,
aline,
alkov,
amfor,
angin,
angor,
anten,
apati,
apoge,
arkad,
arkiv,
arnik,
atlas,
atlet,
aviad,
balad,
balet,
barak,
baron,
basen,
beril,
bibli,
bigot,
biret,
bitum,
bivak,
brecx,
brocx,
bronk,
cigan,
cikut,
cxifr,
debat,
dekan,
dilem,
diluv,
divan,
dolar,
drakm,
dukat,
edikt,
eklog,
ekzem,
elegi,
elips,
elizi,
emfaz,
epope,
fagot,
fakir,
fatal,
feuxd,
fiakr,
fiask,
final,
fjord,
forum,
fresk,
furor,
galer,
galop,
garol,
goril,
hamak,
harem,
harpi,
helic,
helik,
hisop,
hoboj,
humer,
idiom,
idiot,
ileks,
iluzi,
indig,
jalap,
jud/ism##,
kabal,
kadet,
kalif,
kanon,
karat,
kazin,
kinin,
kirsx,
kloak,
kobaj,
kokon,
kolik,
kolos,
komet,
koral,
korne,
korol,
kozak,
krabr,
kreol,
kript,
kulis,
kumin,
kvast,
kvint,
lagun,
lapis,
larik,
later,
lazur,
legat,
lirik,
madon,
major,
mamut,
medol,
meduz,
melas,
melis,
miasm,
mimoz,
mitul,
moske,
motiv,
natri,
nikel,
nimfe,
noktu,
nomad,
novel,
nunci,
oksid,
oktav,
oniks,
optik,
orbit,
oriol,
ovaci,
pagod,
panel,
panik,
paraf,
patos,
pedal,
pedel,
peoni,
peruk,
pigme,
pirat,
pivot,
polip,
polis,
pomad,
prior,
prism,
psalm,
raket,
rebus,
retin,
retor,
rezed,
ricin,
rokok,
rubus,
rutin,
saliv,
satan,
saten,
seraf,
sifon,
sinap,
sinod,
siren,
skalp,
skerc,
skism,
sonat,
sonet,
spasm,
sperm,
splen,
stopl,
strof,
sutan,
sxose,
sxpat,
taler,
tanin,
tarok,
teism,
teist,
templ,
tenor,
teror,
tindr,
tiran,
tonel,
trofe,
trust,
tunik,
utopi,
vanel,
vinkt,
viper,
viski,
zefir,
advent,
aksiom,
akvari,
algebr,
alkemi,
ambici,
amulet,
anagal,
anarki,
anatom,
ancxov,
anemon,
anilin,
aplomb,
apolog,
arbust,
arhxiv,
asesor,
ateism,
ateist,
auxkci,
balast,
balkon,
balzam,
bandit,
barbar,
barier,
bateri,
batist,
bazalt,
beletr,
bilanc,
bilard,
binokl,
biolog,
blazon,
blokad,
bordel,
braman,
brigad,
buduar,
burnus,
celeri,
cidoni,
ciklon,
ciklop,
dekret,
depesx,
despot,
diabet,
diadem,
diakon,
diplom,
divizi,
dragon,
eklips,
eksces,
ekstaz,
ekvaci,
emblem,
emulsi,
endivi,
epilog,
epitet,
epizod,
erupci,
eskort,
estrad,
etiket,
euxnuk,
ezofag,
faktor,
falang,
fanfar,
feniks,
feston,
feticx,
fleksi,
floren,
format,
frakci,
fregat,
galant,
gangli,
genist,
geolog,
gerani,
gigant,
glazur,
glikoz,
glukoz,
gondol,
grafit,
gulden,
harpun,
hetman,
hipnot,
incens,
indeks,
inflam,
jaguar,
jezuit,
jxaket,
kadavr,
kadenc,
kalibr,
kameli,
kantat,
kanton,
karbon,
karcer,
karier,
kariol,
katedr,
kauxci,
kazern,
kokard,
kolodi,
koloni,
kompas,
kondor,
konjak,
korife,
kornet,
korsar,
korset,
korvet,
kotlet,
kursiv,
laktuk,
lavend,
loteri,
lucern,
maksim,
malari,
marasm,
markiz,
martir,
masagx,
mazurk,
medium,
melodi,
mentor,
merkat,
mespil,
meteor,
metrik,
mikrob,
mirakl,
miriad,
molusk,
monark,
morfin,
mozaik,
munici,
nektar,
orkide,
pacxul,
parodi,
pavian,
pedant,
pepsin,
petard,
piastr,
pistil,
podagr,
ponton,
portal,
portik,
prelat,
prelud,
premis,
profan,
profil,
prolog,
puding,
pupitr,
pustul,
rabarb,
regent,
rektor,
relief,
retort,
romanc,
rotond,
sandal,
santal,
sarong,
satrap,
sektor,
septet,
serajl,
sevrug,
sfinks,
siluet,
simbol,
sinkop,
sintez,
skelet,
sofist,
spektr,
spiral,
sponde,
suflor,
sultan,
sxalup,
sxankr,
sxarad,
taksus,
taktik,
talmud,
tamtam,
tandem,
tapiok,
teolog,
teorem,
terapi,
tercet,
termit,
tonsur,
torped,
trapez,
tribut,
triumf,
turbin,
unison,
uragan,
vampir,
verand,
vermut,
vinjet,
zigzag,
zodiak,
admiral,
aerolit,
aforism,
agronom,
akrobat,
akvarel,
alegori,
alhxemi,
almanak,
ambrozi,
ametist,
amnesti,
anagram,
analogi,
anapest,
anatomi,
angelik,
anomali,
antilop,
antipod,
antitez,
apoteoz,
apozici,
arabesk,
arkaism,
asonanc,
atavism,
atribut,
auxreol,
bankier,
barikad,
bariton,
bastard,
bazilik,
biograf,
biologi,
bisturi,
bombast,
botanik,
celuloz,
ceramik,
cilindr,
cistern,
citadel,
cxevron,
demagog,
diagnoz,
dialekt,
diametr,
difteri,
diftong,
dinamik,
dinamit,
dinasti,
doktrin,
ekspres,
eliksir,
eminenc,
epiderm,
epifani,
epigraf,
epigram,
erudici,
estetik,
etim/olog##,
etiolog,
evoluci,
farmaci,
filolog,
filozof,
fonetik,
fronton,
gangren,
gardeni,
gencian,
geodezi,
geograf,
geologi,
geometr,
gerundi,
gilotin,
gimnast,
gimnazi,
guberni,
hiacint,
hipotek,
hipotez,
histeri,
homonim,
hxirurg,
judaism,
jxargon,
kalomel,
kanaben,
kanibal,
kanonik,
kaporal,
karamel,
karavan,
kartusx,
katolik,
kazemat,
komplot,
koncesi,
kontakt,
korsajx,
kreozot,
kriteri,
kvadril,
kvestor,
letargi,
liturgi,
lozangx,
lumbrik,
mahagon,
majolik,
makadam,
makaron,
malakit,
mansard,
margxen,
matador,
mekanik,
merlang,
metafor,
minaret,
mirabel,
molekul,
monarki,
monolog,
monopol,
nikotin,
obelisk,
oleandr,
oligark,
omnibus,
onobrik,
optativ,
pacient,
palinur,
pamflet,
panoram,
papirus,
parabol,
parafin,
paskvil,
pasxtel,
patolog,
patrici,
patriot,
pedagog,
pelerin,
pension,
percept,
pilastr,
piramid,
plagiat,
plantag,
polemik,
prefekt,
procesi,
prognoz,
prozodi,
puritan,
retorik,
revizor,
samovar,
sarkasm,
segment,
sekreci,
semafor,
serenad,
sifilis,
simetri,
simfoni,
simptom,
sinagog,
sinedri,
sinonim,
sintaks,
skandal,
skrupul,
stearin,
sugesti,
sxiling,
taburet,
tangent,
teokrat,
teologi,
trombon,
ultimat,
uvertur,
variant,
vazelin,
verdikt,
veteran,
vokativ,
abnegaci,
adjutant,
aeroplan,
agronomi,
akvafort,
akvilegi,
alabastr,
aligator,
ambulanc,
antipati,
antologi,
apostrof,
arbalest,
areometr,
arkeolog,
arkitekt,
artileri,
astrolog,
astronom,
atmosfer,
auxdienc,
balistik,
balzamin,
banderol,
barelief,
batalion,
bazilisk,
biografi,
ceremoni,
dekadenc,
delegaci,
demagogi,
demokrat,
diafragm,
diagonal,
diapazon,
didaktik,
difterit,
diktator,
discxipl,
dispepsi,
ditiramb,
dromedar,
ekstrakt,
epilepsi,
erizipel,
etimologi##,
etiologi,
etnograf,
evangeli,
faksimil,
fakultat,
felieton,
feminism,
feminist,
filologi,
filozofi,
fiziolog,
fonograf,
galantin,
garnitur,
garnizon,
genealog,
geometri,
glicerin,
gliciriz,
grafolog,
gramofon,
gutaperk,
halebard,
harmonik,
hegemoni,
hekatomb,
hierarki,
hipodrom,
honorari,
horoskop,
hortensi,
hxirurgi,
idiotism,
imperial,
indigxen,
inkognit,
intervju,
kalendul,
kardinal,
katafalk,
katakomb,
katedral,
katekist,
kavaleri,
komandit,
konfekci,
konflikt,
kontralt,
kontrast,
konvenci,
kosmetik,
kreditor,
ksilofon,
kvocient,
labirint,
lauxreat,
logaritm,
logogrif,
makaroni,
mandaren,
mandolin,
manifest,
manometr,
margarin,
marionet,
mauxzole,
mekanism,
melodram,
meridian,
metronom,
metropol,
mikrofon,
miniatur,
monogram,
monomani,
naftalin,
narkotik,
navigaci,
nekrolog,
nepotism,
nihilism,
nihilist,
nostalgi,
numismat,
obligaci,
oligarhx,
oligarki,
optimism,
optimist,
organism,
orografi,
pacifism,
pacifist,
palanken,
panteism,
panteist,
pantomim,
paradigm,
parafraz,
paragraf,
partitur,
patologi,
pedagogi,
perimetr,
peristil,
pesimism,
pesimist,
pleonasm,
poliglot,
preterit,
procedur,
projekci,
proporci,
prospekt,
protokol,
prototip,
prozelit,
psikolog,
referenc,
renesanc,
reputaci,
revelaci,
revolver,
rojalist,
sacerdot,
sakristi,
sarkofag,
seminari,
sensaci,
sfinkter,
silogism,
solecism,
stipendi,
strategi,
subvenci,
talisman,
tamburin,
tarantel,
tarantul,
teleskop,
teokrati,
tipograf,
topograf,
toreador,
transept,
tuberkul,
amfiteatr,
apopleksi,
arbitraci,
arhxeolog,
arhxitekt,
aritmetik,
arkeologi,
arkipelag,
astrologi,
astronomi,
auxditori,
auxtograf,
auxtokrat,
deklaraci,
demokrati,
dialektik,
disciplin,
disenteri,
entomolog,
etnografi,
filantrop,
fiziologi,
fizionomi,
fotografi,
genealogi,
gladiator,
grafologi,
harmonium,
heksametr,
heliotrop,
hidrofobi,
hieroglif,
higrometr,
hipopotam,
homeopati,
ideografi,
imperativ,
imperfekt,
impresari,
indikativ,
infanteri,
infinitiv,
inkvizici,
intendant,
kabriolet,
kandelabr,
karikatur,
kartograf,
kastanjet,
katalepsi,
katastrof,
katehxist,
kompromis,
konduktor,
konkurenc,
kontinent,
kontrabas,
konvolvul,
kosmogoni,
kosmograf,
krizantem,
kronologi,
kronometr,
krucifiks,
kvadratur,
litografi,
lokomobil,
melankoli,
metafizik,
mikrometr,
mikroskop,
mineralog,
monoteism,
neologism,
oligarhxi,
ornitolog,
ostracism,
paleograf,
palisandr,
paroksism,
pentametr,
plutokrat,
politeism,
providenc,
pulcxinel,
purgatori,
recitativ,
reformaci,
rekrement,
repertuar,
rezignaci,
sakrament,
sekundant,
skarlatin,
skolastik,
somnambul,
sortiment,
spekulaci,
spiritism,
spiritist,
stalagmit,
stalaktit,
statistik,
sxovinism,
sxovinist,
tipografi,
topografi,
velociped,
veterinar,
vivisekci,
abiturient,
alternativ,
anakronism,
antropolog,
arhxeologi,
arhxipelag,
aristokrat,
arkitektur,
auxtokrati,
beletristik,
bibliograf,
civilizaci,
dinamometr,
ekskrement,
entomologi,
euxkaristi,
filantropi,
hipertrofi,
ingredienc,
inkvizitor,
kartografi,
koeficient,
kompliment,
kongregaci,
konsistori,
kontraband,
kontribuci,
kosmografi,
kosmopolit,
krestomati,
kvintesenc,
manufaktur,
manuskript,
metamorfoz,
meteorolog,
mineralogi,
naturalism,
numismatik,
ornitologi,
paleografi,
perspektiv,
plutokrati,
pneuxmatik,
prerogativ,
pseuxdonim,
stenografi,
subjunktiv,
superlativ,
tuberkuloz,
admiralitat,
antropologi,
aristokrati,
bibliografi,
cirkumfleks,
demonstraci,
departement,
enciklopedi,
hermafrodit,
hidrostatik,
hidroterapi,
imperialism,
inauxguraci,
kalejdoskop,
kondicional,
konfederaci,
konglomerat,
kontrapunkt,
manifestaci,
metempsikoz,
meteorologi,
observatori,
paleontolog,
pleuxronekt,
protagonist,
protektorat,
pseuxd,
racionalism,
racionalist,
reuxmatism,
temperament,
tragikomedi,
administraci,
demonstrativ,
konservatori,
paleontologi,
paralelogram,
spiritualism,
spiritualist,
trigonometri,
auxtobiografi,
t.e.,是
k.t.p.,等
kiom,何量
kiom##,量
kiom##,量
dum,当间
dum##,时
gxis,至
gxis##,至
anstataux,代
anstataux##,代
kiu##,哪
kiu,何u
tiu##,那
tiu##,那
cxiu,全u
cxiu##,各
neniu,无u
neniu##,无
ambaux,双
ambaux##,双
tiu cxi##,这
tiu cxi##,此
fiks,固
fiks##,固
fals,伪
fals##,伪
cxu##,否
cxu,吗
kial,何因
kial##,原因
kiel,何方
kiel##,方式
tamen,但
tamen##,但
apenaux,
apenaux##,几乎
kvazaux,如
kvazaux##,似
cxirkaux,约
cxirkaux##,周围
precip##,重
precip,特别
tut,全
tut##,全
rest##,留
rest,余
cxiel,全方
cxiel##,天
interes,兴趣
interes##,兴趣
lig,联
lig##,联
rul,轮
rul##,轴
arm##,武器
arm,武
fos,掘
fos##,坑
plant,植
plant##,植
orient##,方向
orient,东
fald,折
fald##,折
kaj,
kaj##,台
amas,群
amas##,群
kopi,复写
kopi##,复
fotograf,摄
fotograf##,摄
cxar,因
cxar##,车
fikci##,构
fikci,虚
nul,
nul##,
klar##,明
klar,明
artikol,文品
artikol##,条款
auxgust,8月
auxgust##,八月
por##,为
por##,孔
opozici,反
opozici##,反
fot,照
vibr,振
oscil,振动
fluktu,波动
am,爱
an,员
ar,群
di,神
ec,性
eg,大
ej,场
ek,始
el,外
en,中
er,粒
et,小
id,子
ig,使
il,具
in,女
ir,去
li,他
lu,租
mi,我
ne,不
on,分
op,集
or,金
ov,卵
pi,信
po,个
